Time,"Points:0","Points:1","Points:2","U:0","U:1","U:2","p"
529,-1.678392,-4.5,-0.5,1.168483,-9.567053e-31,-5.960386e-18,0.3554332
529,-1.546303,-4.5,-0.5,1.179531,-9.656932e-31,0,0.3420207
529,-1.414214,-4.5,-0.5,1.191088,-9.751554e-31,7.91808e-22,0.3277918
529,-10,-4.345711,-0.5,1,0,0,0.5383527
529,-9.867911,-4.345711,-0.5,1.000009,-1.852145e-05,6.156867e-18,0.5383726
529,-9.735822,-4.345711,-0.5,1.000032,-3.662439e-05,-1.694688e-17,0.5384072
529,-9.603733,-4.345711,-0.5,1.00007,-5.45338e-05,8.875645e-19,0.5384266
529,-9.471643,-4.345711,-0.5,1.000124,-7.24061e-05,3.656197e-17,0.5384273
529,-9.339555,-4.345711,-0.5,1.000193,-9.039717e-05,8.875511e-19,0.5384108
529,-9.207466,-4.345711,-0.5,1.000278,-0.0001086735,-1.432924e-17,0.5383776
529,-9.075377,-4.345711,-0.5,1.000378,-0.0001274016,3.510121e-18,0.5383273
529,-8.943288,-4.345711,-0.5,1.000495,-0.0001467492,1.052938e-17,0.5382593
529,-8.811199,-4.345711,-0.5,1.000628,-0.0001668882,1.052827e-17,0.538173
529,-8.67911,-4.345711,-0.5,1.000779,-0.0001879965,3.509016e-18,0.5380679
529,-8.547021,-4.345711,-0.5,1.000948,-0.000210259,0,0.5379431
529,-8.414931,-4.345711,-0.5,1.001137,-0.0002338691,-8.189656e-18,0.5377973
529,-8.282843,-4.345711,-0.5,1.001346,-0.0002590303,6.162976e-33,0.5376296
529,-8.150754,-4.345711,-0.5,1.001578,-0.0002859572,8.189656e-18,0.5374385
529,-8.018664,-4.345711,-0.5,1.001833,-0.0003148776,0,0.5372223
529,-7.886576,-4.345711,-0.5,1.002114,-0.0003460338,0,0.5369793
529,-7.754487,-4.345711,-0.5,1.002422,-0.0003796844,-4.085554e-18,0.5367075
529,-7.622397,-4.345711,-0.5,1.00276,-0.0004161057,6.162976e-33,0.5364047
529,-7.490309,-4.345711,-0.5,1.00313,-0.0004555939,4.085554e-18,0.5360683
529,-7.35822,-4.345711,-0.5,1.003536,-0.0004984666,4.077066e-18,0.5356956
529,-7.22613,-4.345711,-0.5,1.003979,-0.0005450647,4.073622e-18,0.5352836
529,-7.094041,-4.345711,-0.5,1.004464,-0.0005957547,6.073773e-18,0.5348288
529,-6.961953,-4.345711,-0.5,1.004993,-0.0006509301,-4.073622e-18,0.5343276
529,-6.829864,-4.345711,-0.5,1.005572,-0.0007110137,-1.015084e-17,0.5337759
529,-6.697774,-4.345711,-0.5,1.006204,-0.0007764597,0,0.5331692
529,-6.565685,-4.345711,-0.5,1.006894,-0.0008477551,0,0.5325027
529,-6.433597,-4.345711,-0.5,1.007647,-0.0009254221,3.465814e-18,0.5317709
529,-6.301507,-4.345711,-0.5,1.00847,-0.00101002,7.800809e-18,0.5309681
529,-6.169418,-4.345711,-0.5,1.009367,-0.001102144,1.177636e-18,0.5300879
529,-6.037329,-4.345711,-0.5,1.010347,-0.001202433,8.730522e-19,0.5291233
529,-5.905241,-4.345711,-0.5,1.011415,-0.001311562,4.03041e-18,0.5280668
529,-5.773151,-4.345711,-0.5,1.012581,-0.00143025,2.990824e-18,0.5269102
529,-5.641062,-4.345711,-0.5,1.013851,-0.001559254,6.97647e-18,0.5256445
529,-5.508973,-4.345711,-0.5,1.015236,-0.001699374,7.947613e-18,0.5242601
529,-5.376884,-4.345711,-0.5,1.016746,-0.001851444,-6.97647e-18,0.5227464
529,-5.244795,-4.345711,-0.5,1.018391,-0.002016338,-7.422255e-18,0.5210921
529,-5.112706,-4.345711,-0.5,1.020182,-0.002194957,-3.832961e-18,0.519285
529,-4.980617,-4.345711,-0.5,1.022131,-0.002388228,-1.029231e-17,0.5173118
529,-4.848528,-4.345711,-0.5,1.024252,-0.002597098,-2.943172e-18,0.5151582
529,-4.716439,-4.345711,-0.5,1.026557,-0.002822517,0,0.5128092
529,-4.58435,-4.345711,-0.5,1.029063,-0.003065432,0,0.5102481
529,-4.452261,-4.345711,-0.5,1.031783,-0.003326769,0,0.5074576
529,-4.320172,-4.345711,-0.5,1.034735,-0.003607412,0,0.504419
529,-4.188083,-4.345711,-0.5,1.037935,-0.003908182,0,0.5011125
529,-4.055994,-4.345711,-0.5,1.0414,-0.00422981,1.40388e-18,0.497517
529,-3.923905,-4.345711,-0.5,1.04515,-0.004572902,-6.162976e-33,0.4936104
529,-3.791816,-4.345711,-0.5,1.049202,-0.004937905,-3.250869e-18,0.4893695
529,-3.659727,-4.345711,-0.5,1.053576,-0.005325063,5.392604e-33,0.4847699
529,-3.527638,-4.345711,-0.5,1.058291,-0.005734368,-1.269485e-18,0.4797865
529,-3.395549,-4.345711,-0.5,1.063366,-0.006165511,-6.19665e-18,0.4743931
529,-3.26346,-4.345711,-0.5,1.068819,-0.006617819,-3.080177e-18,0.4685633
529,-3.131371,-4.345711,-0.5,1.074669,-0.007090198,-3.47142e-18,0.4622701
529,-2.999282,-4.345711,-0.5,1.080932,-0.007581063,-3.85186e-33,0.4554863
529,-2.867193,-4.345711,-0.5,1.087624,-0.00808828,1.307898e-18,0.4481855
529,-2.735104,-4.345711,-0.5,1.094758,-0.008609092,-4.287445e-18,0.4403418
529,-2.603015,-4.345711,-0.5,1.102344,-0.009140071,-2.103912e-18,0.4319306
529,-2.470926,-4.345711,-0.5,1.110391,-0.009677058,-5.527892e-18,0.4229293
529,-2.338837,-4.345711,-0.5,1.1189,-0.01021513,-4.401926e-18,0.413318
529,-2.206748,-4.345711,-0.5,1.127872,-0.01074857,5.970383e-33,0.4030803
529,-2.074659,-4.345711,-0.5,1.1373,-0.0112709,9.870008e-20,0.3922038
529,-1.94257,-4.345711,-0.5,1.147172,-0.01177486,1.853e-18,0.3806816
529,-1.810481,-4.345711,-0.5,1.157469,-0.01225251,-2.381322e-18,0.3685129
529,-1.678392,-4.345711,-0.5,1.168164,-0.0126952,-2.989644e-18,0.3557036
529,-1.546303,-4.345711,-0.5,1.179225,-0.01309333,0,0.3422688
529,-1.414214,-4.345711,-0.5,1.190798,-0.01338452,-8.613057e-23,0.3280129
529,-10,-4.191422,-0.5,1,0,0,0.5383893
529,-9.867911,-4.191422,-0.5,1.000008,-3.676074e-05,5.700753e-32,0.5384085
529,-9.735822,-4.191422,-0.5,1.000031,-7.27662e-05,-2.460655e-17,0.5384423
529,-9.603733,-4.191422,-0.5,1.000069,-0.0001083748,3.51075e-18,0.5384615
529,-9.471643,-4.191422,-0.5,1.000122,-0.0001439091,4.803167e-17,0.5384622
529,-9.339555,-4.191422,-0.5,1.00019,-0.0001796865,3.510697e-18,0.5384461
529,-9.207466,-4.191422,-0.5,1.000273,-0.000216033,-1.640367e-17,0.5384134
529,-9.075377,-4.191422,-0.5,1.000372,-0.0002532774,3.85186e-33,0.5383639
529,-8.943288,-4.191422,-0.5,1.000486,-0.0002917534,9.860761e-32,0.5382971
529,-8.811199,-4.191422,-0.5,1.000617,-0.0003318032,5.161492e-32,0.5382124
529,-8.67911,-4.191422,-0.5,1.000766,-0.0003737807,-4.160009e-32,0.5381091
529,-8.547021,-4.191422,-0.5,1.000932,-0.0004180537,0,0.5379863
529,-8.414931,-4.191422,-0.5,1.001117,-0.0004650073,-8.189656e-18,0.5378431
529,-8.282843,-4.191422,-0.5,1.001323,-0.000515046,1.555741e-33,0.5376782
529,-8.150754,-4.191422,-0.5,1.001551,-0.0005685974,8.189656e-18,0.5374904
529,-8.018664,-4.191422,-0.5,1.001802,-0.0006261147,0,0.5372779
529,-7.886576,-4.191422,-0.5,1.002078,-0.0006880803,-3.501506e-18,0.537039
529,-7.754487,-4.191422,-0.5,1.002381,-0.0007550088,-1.517302e-17,0.5367719
529,-7.622397,-4.191422,-0.5,1.002713,-0.0008274505,-3.499719e-18,0.5364742
529,-7.490309,-4.191422,-0.5,1.003077,-0.0009059952,8.171797e-18,0.5361434
529,-7.35822,-4.191422,-0.5,1.003476,-0.0009912754,8.155006e-18,0.535777
529,-7.22613,-4.191422,-0.5,1.003912,-0.00108397,8.148193e-18,0.5353718
529,-7.094041,-4.191422,-0.5,1.004388,-0.00118481,-1.432118e-20,0.5349246
529,-6.961953,-4.191422,-0.5,1.004909,-0.001294579,-8.148193e-18,0.5344316
529,-6.829864,-4.191422,-0.5,1.005479,-0.00141412,-4.078411e-18,0.533889
529,-6.697774,-4.191422,-0.5,1.0061,-0.001544339,8.114664e-18,0.5332922
529,-6.565685,-4.191422,-0.5,1.006779,-0.001686207,-5.900669e-19,0.5326364
529,-6.433597,-4.191422,-0.5,1.00752,-0.001840765,-1.175035e-18,0.5319164
529,-6.301507,-4.191422,-0.5,1.00833,-0.00200913,6.926772e-18,0.5311264
529,-6.169418,-4.191422,-0.5,1.009213,-0.002192493,-5.182246e-18,0.53026
529,-6.037329,-4.191422,-0.5,1.010177,-0.002392126,1.150219e-17,0.5293105
529,-5.905241,-4.191422,-0.5,1.011229,-0.002609381,1.209494e-17,0.5282702
529,-5.773151,-4.191422,-0.5,1.012377,-0.002845693,-8.048848e-18,0.5271311
529,-5.641062,-4.191422,-0.5,1.013628,-0.003102581,3.993565e-18,0.5258844
529,-5.508973,-4.191422,-0.5,1.014993,-0.003381641,1.194908e-17,0.5245203
529,-5.376884,-4.191422,-0.5,1.01648,-0.003684552,-3.993565e-18,0.5230286
529,-5.244795,-4.191422,-0.5,1.018101,-0.004013059,-7.49381e-20,0.5213978
529,-5.112706,-4.191422,-0.5,1.019867,-0.004368975,3.944451e-18,0.5196157
529,-4.980617,-4.191422,-0.5,1.021789,-0.004754165,-1.187414e-17,0.5176693
529,-4.848528,-4.191422,-0.5,1.023881,-0.00517053,-3.944451e-18,0.5155442
529,-4.716439,-4.191422,-0.5,1.026157,-0.005619989,3.891791e-18,0.5132253
529,-4.58435,-4.191422,-0.5,1.02863,-0.006104453,3.87096e-18,0.5106961
529,-4.452261,-4.191422,-0.5,1.031317,-0.006625796,-3.891791e-18,0.507939
529,-4.320172,-4.191422,-0.5,1.034233,-0.007185814,-3.87096e-18,0.5049354
529,-4.188083,-4.191422,-0.5,1.037396,-0.007786182,0,0.5016652
529,-4.055994,-4.191422,-0.5,1.040824,-0.008428396,1.883678e-18,0.4981073
529,-3.923905,-4.191422,-0.5,1.044534,-0.009113711,1.92593e-33,0.4942394
529,-3.791816,-4.191422,-0.5,1.048546,-0.009843071,-5.581177e-18,0.4900377
529,-3.659727,-4.191422,-0.5,1.052879,-0.01061701,-4.237046e-33,0.4854777
529,-3.527638,-4.191422,-0.5,1.057553,-0.01143558,5.508987e-18,0.4805337
529,-3.395549,-4.191422,-0.5,1.062587,-0.01229821,-7.896313e-32,0.4751791
529,-3.26346,-4.191422,-0.5,1.068,-0.01320363,-1.811488e-18,0.4693866
529,-3.131371,-4.191422,-0.5,1.073811,-0.0141497,-6.951723e-18,0.4631285
529,-2.999282,-4.191422,-0.5,1.080038,-0.01513332,-2.927414e-32,0.456377
529,-2.867193,-4.191422,-0.5,1.086697,-0.01615026,6.951723e-18,0.4491043
529,-2.735104,-4.191422,-0.5,1.0938,-0.01719507,0,0.4412835
529,-2.603015,-4.191422,-0.5,1.101362,-0.01826091,1.611824e-18,0.4328889
529,-2.470926,-4.191422,-0.5,1.109388,-0.01933947,1.580061e-18,0.4238966
529,-2.338837,-4.191422,-0.5,1.117884,-0.02042088,-1.611824e-18,0.4142854
529,-2.206748,-4.191422,-0.5,1.12685,-0.02149366,-1.580061e-18,0.4040373
529,-2.074659,-4.191422,-0.5,1.13628,-0.02254472,-2.52079e-18,0.3931389
529,-1.94257,-4.191422,-0.5,1.146163,-0.02355943,-4.262118e-18,0.3815821
529,-1.810481,-4.191422,-0.5,1.156479,-0.02452171,-2.44355e-18,0.3693649
529,-1.678392,-4.191422,-0.5,1.167203,-0.02541423,-7.022216e-19,0.356493
529,-1.546303,-4.191422,-0.5,1.178301,-0.02621871,0,0.3429828
529,-1.414214,-4.191422,-0.5,1.189923,-0.02681065,1.396477e-21,0.3286372
529,-10,-4.037132,-0.5,1,0,0,0.5384484
529,-9.867911,-4.037132,-0.5,1.000008,-5.457979e-05,-7.912682e-18,0.538467
529,-9.735822,-4.037132,-0.5,1.00003,-0.0001080786,-4.979355e-17,0.5384998
529,-9.603733,-4.037132,-0.5,1.000067,-0.0001609768,-7.023668e-18,0.5385184
529,-9.471643,-4.037132,-0.5,1.000119,-0.000213764,5.039694e-17,0.5385191
529,-9.339555,-4.037132,-0.5,1.000185,-0.000266918,-5.267647e-18,0.5385034
529,-9.207466,-4.037132,-0.5,1.000265,-0.0003209197,-1.816125e-17,0.5384717
529,-9.075377,-4.037132,-0.5,1.000361,-0.0003762558,-3.510121e-18,0.5384236
529,-8.943288,-4.037132,-0.5,1.000472,-0.0004334226,-1.228468e-17,0.5383586
529,-8.811199,-4.037132,-0.5,1.0006,-0.0004929289,-1.403859e-17,0.5382764
529,-8.67911,-4.037132,-0.5,1.000744,-0.0005553008,-7.018709e-18,0.538176
529,-8.547021,-4.037132,-0.5,1.000905,-0.0006210856,-3.508946e-18,0.5380567
529,-8.414931,-4.037132,-0.5,1.001085,-0.0006908556,6.437796e-18,0.5379176
529,-8.282843,-4.037132,-0.5,1.001285,-0.0007652128,-1.155558e-31,0.5377574
529,-8.150754,-4.037132,-0.5,1.001506,-0.0008447933,-9.944729e-18,0.5375748
529,-8.018664,-4.037132,-0.5,1.00175,-0.0009302714,-3.504639e-18,0.5373684
529,-7.886576,-4.037132,-0.5,1.002018,-0.001022365,-1.751977e-18,0.5371362
529,-7.754487,-4.037132,-0.5,1.002313,-0.00112184,-9.923869e-18,0.5368765
529,-7.622397,-4.037132,-0.5,1.002636,-0.001229517,5.851185e-19,0.5365871
529,-7.490309,-4.037132,-0.5,1.00299,-0.001346272,6.42412e-18,0.5362656
